YYYYMMDD,Date,Short Positions,Long Positions,Total Positions,Daily PnL,Cumulative PnL,ROR,Market Value,Net Market Value,Sharpe
20100217,2/17/2010,-2000,0,2000,0,19275,0,189065,-183005,1.8335
20100218,2/18/2010,-2000,0,2000,0,19275,0,190275,-183005,1.81483
20100219,2/19/2010,-2000,0,2000,0,19275,0,189225,-183005,1.79672
20100222,2/22/2010,-2000,0,2000,0,19275,0,188435,-183005,1.77914
20100223,2/23/2010,-1500,0,1500,1165,20440,0.0119653,87590,-85640,1.87178
20100224,2/24/2010,-1500,0,1500,0,20440,0,88460,-85640,1.85413
20100225,2/25/2010,-2000,0,2000,0,20440,0,189150,-186640,1.83697
20100226,2/26/2010,-2000,0,2000,0,20440,0,190490,-186640,1.82028
20100301,3/1/2010,-2000,0,2000,0,20440,0,193725,-186640,1.80403
20100302,3/2/2010,-2000,0,2000,0,20440,0,192715,-186640,1.78821
20100303,3/3/2010,-1000,0,1000,2060,22500,0.0458522,114925,-111030,2.14075
20100304,3/4/2010,-1500,500,2000,0,22500,0,193295,-61985,2.12252
20100305,3/5/2010,-500,0,500,650,23150,0.0419704,109475,-101000,2.43116
20100308,3/8/2010,-500,500,1000,0,23150,0,123855,-86685,2.41102
20100309,3/9/2010,-1000,1000,2000,0,23150,0,199155,-138990,2.39137
20100310,3/10/2010,-1000,1000,2000,170,23320,0.0118757,200310,-138820,2.46856
20100311,3/11/2010,-1000,500,1500,260,23580,0.0220531,187175,-153150,2.62167
20100312,3/12/2010,-1000,500,1500,0,23580,0,187905,-153150,2.60119
20100315,3/15/2010,-1500,500,2000,0,23580,0,201065,-167795,2.58119
20100316,3/16/2010,-1500,0,1500,380,23960,0.0357647,191245,-178420,2.8224
20100317,3/17/2010,-1500,0,1500,0,23960,0,190755,-178420,2.80123
20100318,3/18/2010,-1500,0,1500,11325,35285,0.112129,90095,-88520,3.34804
20100319,3/19/2010,-1000,0,1000,105,35390,0.00945946,78650,-77420,3.39081
20100322,3/22/2010,-1000,500,1500,0,35390,0,89910,-66300,3.36611
20100323,3/23/2010,-1000,1000,2000,0,35390,0,205140,47880,3.34195
20100324,3/24/2010,-1000,1000,2000,95,35485,0.00854317,204990,47975,3.37808
20100325,3/25/2010,-1000,1000,2000,0,35485,0,204125,47975,3.35447
20100326,3/26/2010,-1000,1000,2000,0,35485,0,206030,47975,3.33135
20100329,3/29/2010,-1000,1000,2000,2015,37500,0.0176476,206450,49990,3.42585
20100330,3/30/2010,-500,1000,1500,1610,39110,0.0256472,143980,112765,3.56684
20100331,3/31/2010,-1000,1000,2000,0,39110,0,207415,48640,3.54306
20100401,4/1/2010,-500,1000,1500,1855,40965,0.0198435,193305,65075,3.64754
20100405,4/5/2010,-500,1500,2000,0,40965,0,209850,79710,3.62378
20100406,4/6/2010,-500,1500,2000,1785,42750,0.015129,210095,81495,3.69835
20100407,4/7/2010,-500,1500,2000,0,42750,0,210440,81495,3.67481
20100408,4/8/2010,-500,1500,2000,530,43280,0.0239187,209895,82025,3.79905
20100409,4/9/2010,-500,1000,1500,920,44200,0.00766826,90825,-37950,3.82551
20100412,4/12/2010,-1000,1000,2000,0,44200,0,211755,-159095,3.80192
20100413,4/13/2010,-1000,1000,2000,265,44465,0.0177139,212340,-158830,3.88856
20100414,4/14/2010,-1000,500,1500,730,45195,0.0607467,200230,-173510,4.1663
20100415,4/15/2010,-1500,500,2000,0,45195,0,217450,-188945,4.14123
20100416,4/16/2010,-1000,500,1500,100,45295,0.00647878,200975,-173510,4.15744
20100419,4/19/2010,-1000,1000,2000,240,45535,0.0204082,217170,-157750,4.25319
20100420,4/20/2010,-1000,1000,2000,0,45535,0,214880,-157750,4.22836
20100421,4/21/2010,-1000,1000,2000,145,45680,0.00934278,221670,-157605,4.26119
20100422,4/22/2010,-500,1000,1500,440,46120,0.0068616,160925,-93480,4.27914
20100423,4/23/2010,-500,1000,1500,20,46140,0.00166667,215890,-40485,4.26539
20100426,4/26/2010,-1000,1000,2000,0,46140,0,227580,-52395,4.24152
20100427,4/27/2010,-500,1000,1500,235,46375,0.0197313,210855,-40485,4.33054
20100428,4/28/2010,-500,1500,2000,55,46430,0.000846219,222935,-28800,4.312
20100429,4/29/2010,-500,1500,2000,0,46430,0,226795,-28800,4.28857
20100430,4/30/2010,-500,1500,2000,0,46430,0,221735,-28800,4.26552
20100503,5/3/2010,0,1500,1500,12030,58460,0.0993025,91860,92345,4.56836
20100504,5/4/2010,0,2000,2000,0,58460,0,219745,221685,4.54407
20100505,5/5/2010,0,2000,2000,0,58460,0,217735,221685,4.52016
20100506,5/6/2010,0,2000,2000,0,58460,0,210330,221685,4.49662
20100507,5/7/2010,0,2000,2000,0,58460,0,203740,221685,4.47345
20100510,5/10/2010,0,2000,2000,0,58460,0,215875,221685,4.45063
20100511,5/11/2010,0,2000,2000,0,58460,0,217285,221685,4.42816
20100512,5/12/2010,0,1000,1000,760,59220,-0.0471433,77885,76680,4.08994
20100513,5/13/2010,-1000,1000,2000,690,59910,0.0106072,220790,-66430,4.12515
20100514,5/14/2010,-1000,1000,2000,0,59910,0,217915,-66430,4.10509
20100517,5/17/2010,-1000,1000,2000,2220,62130,0.0262841,217810,-64210,4.21126
20100518,5/18/2010,-1000,1000,2000,0,62130,0,216170,-64210,4.1911
20100519,5/19/2010,-1000,500,1500,-480,61650,-0.0471792,202720,-75490,3.87227
20100520,5/20/2010,-500,1000,1500,8230,69880,0.0647471,85850,62015,4.09968
20100521,5/21/2010,-500,1500,2000,700,70580,0.0495751,207745,183875,4.28038
20100524,5/24/2010,-500,1000,1500,2220,72800,0.0183229,85695,62715,4.34621
20100525,5/25/2010,-1000,1000,2000,385,73185,0.0286885,208330,-59510,4.45297
20100526,5/26/2010,-1000,1000,2000,0,73185,0,206525,-59510,4.43259
20100527,5/27/2010,-1000,500,1500,520,73705,0.0493421,202870,-69870,4.6041
20100528,5/28/2010,-1000,500,1500,100,73805,0.00769231,201780,-67580,4.62026
20100601,6/1/2010,-1000,500,1500,0,73805,0,203175,-67580,4.59952
20100602,6/2/2010,-1000,1000,2000,0,73805,0,219815,-54350,4.57905
20100603,6/3/2010,-1000,1000,2000,0,73805,0,219920,-54350,4.55886
20100604,6/4/2010,-500,500,1000,-2865,70940,-0.0252134,140875,-109380,4.40202
20100607,6/7/2010,-500,1500,2000,0,70940,0,210335,-37160,4.38303
20100608,6/8/2010,-500,1500,2000,0,70940,0,209170,-37160,4.36428
20100609,6/9/2010,-500,1500,2000,0,70940,0,205910,-37160,4.34577
20100610,6/10/2010,-500,500,1000,1895,72835,0.0404159,137755,-109380,4.48391
20100611,6/11/2010,-1500,500,2000,0,72835,0,214130,-183925,4.46512
20100614,6/14/2010,-1500,500,2000,0,72835,0,214585,-183925,4.44656
20100615,6/15/2010,-1500,500,2000,0,72835,0,218770,-183925,4.42823
20100616,6/16/2010,-1000,500,1500,11015,83850,0.0898377,89080,-61315,4.65021
20100617,6/17/2010,-1000,1000,2000,0,83850,0,225370,74620,4.6312
20100618,6/18/2010,-1000,1000,2000,0,83850,0,226030,74620,4.61243
20100621,6/21/2010,-1000,1000,2000,0,83850,0,223980,74620,4.59388
